   D       UP     DW      WPC   CLR      SP      Q  
  0000     0      0       0      1     0000    0000
  0000     0      0       0      0     0000    0000
  0000     0      0       0      0     0000    0001
  0000     0      0       0      0     0000    0002
  0010     1      0       1      0     0000    0003
  0000     0      0       0      0     0001    0010
  0000     0      0       0      0     0001    0011
  0000     0      0       0      0     0001    0012
  0020     1      0       1      0     0001    0013
  0000     0      0       0      0     0010    0020
  0000     0      0       0      0     0010    0021
  0000     0      0       0      0     0010    0022
  0000     0      1       1      0     0010    0023
  0000     0      0       0      0     0001    0014
  0000     0      0       0      0     0001    0015
  0000     0      1       1      0     0001    0016
  0000     0      0       0      0     0000    0004
  0000     0      0       0      0     0000    0005
  0002     0      0       1      0     0000    0006
  0000     0      0       0      0     0000    0002
