  OP_CODE  FUN_CODE   BANDERAS     CLR      LF    MICROINS             NIVEL
    00000     0000     0000        1        0   00000100110000011001     ALTO
    00000     0000     0000        1        0   00000100110000011001     BAJO
    00000     0000     0000        1        0   00000100110000011001     ALTO
    00000     0000     0000        1        0   00000100110000011001     BAJO
    00000     0000     0001        0        1   00000100110000011001     ALTO
    00000     0000     0001        0        1   00000100110000011001     BAJO
    00000     0000     0010        0        1   00000100110000011001     ALTO
    00000     0000     0010        0        1   00000100110000011001     BAJO
    00000     0001     0001        0        1   00000100110000111001     ALTO
    00000     0001     0001        0        1   00000100110000111001     BAJO
    00000     0010     0100        0        1   00000100110000000001     ALTO
    00000     0010     0100        0        1   00000100110000000001     BAJO
    00000     0011     1100        0        1   00000100110000001001     ALTO
    00000     0011     1100        0        1   00000100110000001001     BAJO
    00000     0100     0011        0        1   00000100110000010001     ALTO
    00000     0100     0011        0        1   00000100110000010001     BAJO
    00000     0101     1000        0        1   00000100110001101001     ALTO
    00000     0101     1000        0        1   00000100110001101001     BAJO
    00000     0110     0001        0        1   00000100110001100001     ALTO
    00000     0110     0001        0        1   00000100110001100001     BAJO
    00000     0111     0100        0        1   00000100110000110001     ALTO
    00000     0111     0100        0        1   00000100110000110001     BAJO
    00000     1000     0010        0        1   00000100110001101001     ALTO
    00000     1000     0010        0        1   00000100110001101001     BAJO
    00000     1001     0000        0        0   00000011100000000000     ALTO
    00000     1001     0000        0        0   00000011100000000000     BAJO
    00000     1010     0000        0        0   00000010100000000000     ALTO
    00000     1010     0000        0        0   00000010100000000000     BAJO
    00000     1011     0000        0        0   00000000000000000000     ALTO
    00000     1011     0000        0        0   00000000000000000000     BAJO
    00000     1100     0000        0        0   00000000000000000000     ALTO
    00000     1100     0000        0        0   00000000000000000000     BAJO
    00001     0111     0000        0        0   00000000100000000000     ALTO
    00001     0111     0000        0        0   00000000100000000000     BAJO
    00010     0100     0000        0        0   00000100100000000100     ALTO
    00010     0100     0000        0        0   00000100100000000100     BAJO
    00011     1000     0000        0        0   00001000000000000110     ALTO
    00011     1000     0000        0        0   00001000000000000110     BAJO
    00100     0110     0000        0        0   00001000011010011010     ALTO
    00100     0110     0000        0        0   00001000011010011010     BAJO
    00101     0000     0010        0        1   00000100110010011001     ALTO
    00101     0000     0010        0        1   00000100110010011001     BAJO
    00110     0110     0001        0        1   00000100110010111001     ALTO
    00110     0110     0001        0        1   00000100110010111001     BAJO
    00111     0100     0011        0        1   00000100110010000001     ALTO
    00111     0100     0011        0        1   00000100110010000001     BAJO
    01000     1010     0100        0        1   00000100110010001001     ALTO
    01000     1010     0100        0        1   00000100110010001001     BAJO
    01001     0100     1000        0        1   00000100110010010001     ALTO
    01001     0100     1000        0        1   00000100110010010001     BAJO
    01010     0001     1100        0        1   00000100110011101001     ALTO
    01010     0001     1100        0        1   00000100110011101001     BAJO
    01011     0011     0101        0        1   00000100110011100001     ALTO
    01011     0011     0101        0        1   00000100110011100001     BAJO
    01100     1111     1010        0        1   00000100110010110001     ALTO
    01100     1111     1010        0        1   00000100110010110001     BAJO
    10111     0000     0000        0        1   00000100111010011000     ALTO
    10111     0000     0000        0        1   00000100111010011000     BAJO
    01101     1111     0000        0        1   00001000010000111000     ALTO
    01101     1111     0000        0        1   00001000010000111000     BAJO
    01101     1011     0010        0        1   00001000010000111000     ALTO
    01101     1011     0010        0        1   00001000010000111000     BAJO
    01101     1101     0010        0        1   00110000010110011001     ALTO
    01101     1101     0010        0        1   00001000010000111000     BAJO
    01110     1110     0010        0        1   00001000010000111000     ALTO
    01110     1110     0010        0        1   00001000010000111000     BAJO
    01110     1100     0000        0        1   00001000010000111000     ALTO
    01110     1100     0000        0        1   00001000010000111000     BAJO
    01110     0011     0000        0        1   00110000010110011001     ALTO
    01110     0011     0000        0        1   00001000010000111000     BAJO
    01111     0001     1100        0        1   00001000010000111000     ALTO
    01111     0001     1100        0        1   00001000010000111000     BAJO
    01111     0000     1000        0        1   00001000010000111000     ALTO
    01111     0000     1000        0        1   00001000010000111000     BAJO
    01111     0010     0100        0        1   00110000010110011001     ALTO
    01111     0010     0100        0        1   00001000010000111000     BAJO
    10000     0100     0000        0        1   00110000010110011001     ALTO
    10000     0100     0000        0        1   00001000010000111000     BAJO
    10000     0110     1110        0        1   00001000010000111000     ALTO
    10000     0110     1110        0        1   00001000010000111000     BAJO
    10000     0101     1000        0        1   00110000010110011001     ALTO
    10000     0101     1000        0        1   00001000010000111000     BAJO
    10001     0111     1010        0        1   00001000010000111000     ALTO
    10001     0111     1010        0        1   00001000010000111000     BAJO
    10001     1010     1100        0        1   00001000010000111000     ALTO
    10001     1010     1100        0        1   00001000010000111000     BAJO
    10001     1000     0000        0        1   00110000010110011001     ALTO
    10001     1000     0000        0        1   00001000010000111000     BAJO
    10010     1111     1000        0        1   00110000010110011001     ALTO
    10010     1111     1000        0        1   00001000010000111000     BAJO
    10010     1001     1010        0        1   00001000010000111000     ALTO
    10010     1001     1010        0        1   00001000010000111000     BAJO
    10010     1101     1100        0        1   00110000010110011001     ALTO
    10010     1101     1100        0        1   00001000010000111000     BAJO
    10011     1001     1100        0        0   00100000000000000000     ALTO
    10011     1001     1100        0        0   00100000000000000000     BAJO
    10100     1111     0000        0        0   10100000000000000000     ALTO
    10100     1111     0000        0        0   10100000000000000000     BAJO
    10101     0000     0000        0        0   01000000000000000000     ALTO
    10101     0000     0000        0        0   01000000000000000000     BAJO
    10110     0000     0000        0        0   00000000000000000000     ALTO
    10110     0000     0000        0        0   00000000000000000000     BAJO
    11000     0000     0000        0        0   00000000000000000000     ALTO
    11000     0000     0000        0        0   00000000000000000000     BAJO
