Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8116836547852
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,8370.01
Argentina,ARG,Rural population,SP.RUR.TOTL,3664923
Argentina,ARG,"Population total",SP.POP.TOTL,43131966
Argentina,ARG,"Population male",SP.POP.TOTL.MA.IN,21016705
Argentina,ARG,"Population female",SP.POP.TOTL.FE.IN,22115261
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.850128583186764
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,11.7805740385254
Argentina,ARG,"Armed forces personnel total",MS.MIL.TOTL.P1,105450
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.522822
Bolivia,BOL,Surface area (sq. km),AG.SRF.TOTL.K2,1098580
Bolivia,BOL,Scientific and technical journal articles,IP.JRN.ARTC.SC,86.82
Bolivia,BOL,Rural population,SP.RUR.TOTL,3435596
Bolivia,BOL,"Population total",SP.POP.TOTL,10869732
Bolivia,BOL,"Population male",SP.POP.TOTL.MA.IN,5463444
Bolivia,BOL,"Population female",SP.POP.TOTL.FE.IN,5406288
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.74383901734155
Bolivia,BOL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.0645491614003
Bolivia,BOL,"Armed forces personnel total",MS.MIL.TOTL.P1,71200
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.710902
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770
Brazil,BRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,53064.56
Brazil,BRA,Rural population,SP.RUR.TOTL,29096331
Brazil,BRA,"Population total",SP.POP.TOTL,204471759
Brazil,BRA,"Population male",SP.POP.TOTL.MA.IN,100657516
Brazil,BRA,"Population female",SP.POP.TOTL.FE.IN,103814243
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.36551715396161
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.0534511983164
Brazil,BRA,"Armed forces personnel total",MS.MIL.TOTL.P1,729500
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Canada,CAN,Surface area (sq. km),AG.SRF.TOTL.K2,9879750
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,60533.24
Canada,CAN,Rural population,SP.RUR.TOTL,6691082
Canada,CAN,"Population total",SP.POP.TOTL,35702908
Canada,CAN,"Population male",SP.POP.TOTL.MA.IN,17703599
Canada,CAN,"Population female",SP.POP.TOTL.FE.IN,17999309
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.15270937445521
Canada,CAN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,34.3149411035338
Canada,CAN,"Armed forces personnel total",MS.MIL.TOTL.P1,67500
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.714844
Chile,CHL,Surface area (sq. km),AG.SRF.TOTL.K2,756096
Chile,CHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,6037.51
Chile,CHL,Rural population,SP.RUR.TOTL,2271327
Chile,CHL,"Population total",SP.POP.TOTL,17969356
Chile,CHL,"Population male",SP.POP.TOTL.MA.IN,8844800
Chile,CHL,"Population female",SP.POP.TOTL.FE.IN,9124556
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.89848726603
